pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.6437	0.0105972	-0.0105972	0.06437	-0.06437
0.65	0.6	0.7	0.694268	0.00940047	-0.00940047	0.0694268	-0.0694268
0.75	0.7	0.8	0.676772	0.00828522	-0.00828522	0.0676772	-0.0676772
0.85	0.8	0.9	0.580195	0.00666079	-0.00666079	0.0580195	-0.0580195
0.95	0.9	1	0.500509	0.00558042	-0.00558042	0.0500509	-0.0500509
1.05	1	1.1	0.405246	0.00377749	-0.00377749	0.0405246	-0.0405246
1.15	1.1	1.2	0.344781	0.00320228	-0.00320228	0.0344781	-0.0344781
1.25	1.2	1.3	0.265179	0.00237532	-0.00237532	0.0265179	-0.0265179
1.35	1.3	1.4	0.213684	0.00190809	-0.00190809	0.0213684	-0.0213684
1.45	1.4	1.5	0.170998	0.00151517	-0.00151517	0.0170998	-0.0170998
1.55	1.5	1.6	0.129528	0.00112879	-0.00112879	0.0129528	-0.0129528
1.65	1.6	1.7	0.100132	0.000863593	-0.000863593	0.0100132	-0.0100132
1.75	1.7	1.8	0.0772934	0.000667207	-0.000667207	0.00772934	-0.00772934
1.85	1.8	1.9	0.0592756	0.000507475	-0.000507475	0.00592756	-0.00592756
1.95	1.9	2	0.0453499	0.00039029	-0.00039029	0.00453499	-0.00453499
2.1	2	2.2	0.0307845	0.000188945	-0.000188945	0.00307845	-0.00307845
2.3	2.2	2.4	0.0174221	0.000107	-0.000107	0.00174221	-0.00174221
2.5	2.4	2.6	0.0101265	6.34E-05	-6.34E-05	0.00101265	-0.00101265
2.7	2.6	2.8	0.0058408	3.75E-05	-3.75E-05	0.00058408	-0.00058408
2.9	2.8	3	0.00351179	2.37E-05	-2.37E-05	0.000351179	-0.000351179
3.25	3	3.5	0.00147722	7.30E-06	-7.30E-06	0.000162494	-0.000162494
3.75	3.5	4	0.000444425	2.91E-06	-2.91E-06	4.89E-05	-4.89E-05
4.25	4	4.5	0.000152222	1.47E-06	-1.47E-06	1.67E-05	-1.67E-05
4.75	4.5	5	5.88E-05	9.05E-07	-9.05E-07	6.47E-06	-6.47E-06
5.25	5	5.5	2.05E-05	8.66E-07	-8.66E-07	2.87E-06	-2.87E-06
5.75	5.5	6	1.07E-05	6.83E-07	-6.83E-07	1.50E-06	-1.50E-06
							
centrality	40	60	8.55E+01	1.63E+01			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.294021	0.00547273	-0.00547273	0.0294021	-0.0294021
0.65	0.6	0.7	0.30202	0.0046183	-0.0046183	0.030202	-0.030202
0.75	0.7	0.8	0.287475	0.00396406	-0.00396406	0.0287475	-0.0287475
0.85	0.8	0.9	0.238732	0.00312675	-0.00312675	0.0238732	-0.0238732
0.95	0.9	1	0.199082	0.00256983	-0.00256983	0.0199082	-0.0199082
1.05	1	1.1	0.154809	0.00147201	-0.00147201	0.0154809	-0.0154809
1.15	1.1	1.2	0.127419	0.00120999	-0.00120999	0.0127419	-0.0127419
1.25	1.2	1.3	0.0955449	0.000877789	-0.000877789	0.00955449	-0.00955449
1.35	1.3	1.4	0.07502	0.000688645	-0.000688645	0.007502	-0.007502
1.45	1.4	1.5	0.0587011	0.000535959	-0.000535959	0.00587011	-0.00587011
1.55	1.5	1.6	0.0435553	0.000392611	-0.000392611	0.00435553	-0.00435553
1.65	1.6	1.7	0.0331966	0.000297003	-0.000297003	0.00331966	-0.00331966
1.75	1.7	1.8	0.0252567	0.000227013	-0.000227013	0.00252567	-0.00252567
1.85	1.8	1.9	0.0191996	0.000171891	-0.000171891	0.00191996	-0.00191996
1.95	1.9	2	0.0145445	0.000131472	-0.000131472	0.00145445	-0.00145445
2.1	2	2.2	0.00977547	6.38E-05	-6.38E-05	0.000977547	-0.000977547
2.3	2.2	2.4	0.00547427	3.66E-05	-3.66E-05	0.000547427	-0.000547427
2.5	2.4	2.6	0.00320085	2.24E-05	-2.24E-05	0.000320085	-0.000320085
2.7	2.6	2.8	0.00183531	1.37E-05	-1.37E-05	0.000183531	-0.000183531
2.9	2.8	3	0.00111161	9.10E-06	-9.10E-06	0.000111161	-0.000111161
3.25	3	3.5	0.000480764	3.10E-06	-3.10E-06	5.29E-05	-5.29E-05
3.75	3.5	4	0.000151021	1.41E-06	-1.41E-06	1.66E-05	-1.66E-05
4.25	4	4.5	5.38E-05	7.77E-07	-7.77E-07	5.91E-06	-5.91E-06
4.75	4.5	5	2.13E-05	4.97E-07	-4.97E-07	2.34E-06	-2.34E-06
5.25	5	5.5	6.92E-06	4.63E-07	-4.63E-07	9.69E-07	-9.69E-07
5.75	5.5	6	4.52E-06	4.09E-07	-4.09E-07	6.33E-07	-6.33E-07
							
centrality	60	92	1.83E+01	6.70E+00			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.0730705	0.0016972	-0.0016972	0.00730705	-0.00730705
0.65	0.6	0.7	0.0788407	0.00145937	-0.00145937	0.00788407	-0.00788407
0.75	0.7	0.8	0.0673456	0.00116025	-0.00116025	0.00673456	-0.00673456
0.85	0.8	0.9	0.0503658	0.000865653	-0.000865653	0.00503658	-0.00503658
0.95	0.9	1	0.0402463	0.000704407	-0.000704407	0.00402463	-0.00402463
1.05	1	1.1	0.0296273	0.000273138	-0.000273138	0.00296273	-0.00296273
1.15	1.1	1.2	0.0234125	0.000217677	-0.000217677	0.00234125	-0.00234125
1.25	1.2	1.3	0.0167995	0.000152346	-0.000152346	0.00167995	-0.00167995
1.35	1.3	1.4	0.012646	0.000115946	-0.000115946	0.0012646	-0.0012646
1.45	1.4	1.5	0.00955557	8.80E-05	-8.80E-05	0.000955557	-0.000955557
1.55	1.5	1.6	0.00692775	6.39E-05	-6.39E-05	0.000692775	-0.000692775
1.65	1.6	1.7	0.00514681	4.78E-05	-4.78E-05	0.000514681	-0.000514681
1.75	1.7	1.8	0.0038317	3.64E-05	-3.64E-05	0.00038317	-0.00038317
1.85	1.8	1.9	0.00288512	2.79E-05	-2.79E-05	0.000288512	-0.000288512
1.95	1.9	2	0.00216627	2.17E-05	-2.17E-05	0.000216627	-0.000216627
2.1	2	2.2	0.00142063	1.07E-05	-1.07E-05	0.000142063	-0.000142063
2.3	2.2	2.4	0.000786575	6.54E-06	-6.54E-06	7.87E-05	-7.87E-05
2.5	2.4	2.6	0.000454089	4.30E-06	-4.30E-06	4.54E-05	-4.54E-05
2.7	2.6	2.8	0.000264877	2.92E-06	-2.92E-06	2.65E-05	-2.65E-05
2.9	2.8	3	0.000157874	2.07E-06	-2.07E-06	1.58E-05	-1.58E-05
3.25	3	3.5	6.97E-05	7.83E-07	-7.83E-07	7.67E-06	-7.67E-06
3.75	3.5	4	2.33E-05	4.07E-07	-4.07E-07	2.56E-06	-2.56E-06
4.25	4	4.5	8.68E-06	2.38E-07	-2.38E-07	9.55E-07	-9.55E-07
4.75	4.5	5	3.96E-06	1.67E-07	-1.67E-07	4.36E-07	-4.36E-07
5.25	5	5.5	1.41E-06	1.64E-07	-1.64E-07	1.97E-07	-1.97E-07
5.75	5.5	6	7.44E-07	1.30E-07	-1.30E-07	1.04E-07	-1.04E-07
